"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Life.Expectancy","Year","Health_Outcomes_Rank","Health_Factors_Rank","Length_of_Life_Rank","Clinical_Care_Rank","Socioeconomic_Rank","YPLL_Rate","YPLL_Black","YPLL_White","Percent_Poor_Health","Percent_Low_Birthweight"
5095,"Arkansas","Monroe",34289,402,5621,69.7,2021,74,69,"75",40,69,18263,18338,17902,32,12
5103,"Arkansas","Ouachita",46393,1334,14719,73.6,2021,60,50,"55",15,50,11415,12245,11145,29,11
5107,"Arkansas","Phillips",31521,1034,10436,71.1,2021,75,75,"74",65,75,15856,17843,11958,33,13
5111,"Arkansas","Poinsett",40536,1541,17488,71.4,2021,69,63,"72",49,52,14035,16216,14318,28,10
5119,"Arkansas","Pulaski",52684,24287,46989,76.3,2021,18,4,"26",1,9,9605,12788,7986,23,11
5123,"Arkansas","St. Francis",34389,1323,14568,75.2,2021,66,71,"46",23,71,10893,12342,10148,31,13
5125,"Arkansas","Saline",66944,6143,38734,77.3,2021,3,2,"9",10,2,8230,8317,8555,19,8
5131,"Arkansas","Sebastian",48945,12536,26170,76.2,2021,19,15,"15",11,17,9121,11467,10184,26,8
5139,"Arkansas","Union",46602,2492,22695,72.7,2021,62,38,"69",22,48,12933,17666,10555,25,10
5143,"Arkansas","Washington",52158,22033,51771,78.3,2021,2,3,"2",9,4,6775,8882,7113,23,8
5145,"Arkansas","White",46388,5288,41866,75.8,2021,13,32,"13",38,34,8790,11401,9038,23,8
6001,"California","Alameda",107589,63772,5869,83.1,2021,14,6,"7",8,12,4341,9980,4088,15,7
6007,"California","Butte",58394,12789,41584,77.9,2021,35,30,"43",39,26,7578,9503,8052,19,6
6013,"California","Contra Costa",106555,50205,8316,82.5,2021,15,7,"11",12,9,4619,9093,4645,15,7
6019,"California","Fresno",56926,68300,100537,78.9,2021,46,51,"37",38,52,7008,13471,7391,25,8
6023,"California","Humboldt",51134,8076,40062,77.1,2021,45,29,"50",35,25,8733,11171,8193,18,6
6025,"California","Imperial",48102,10791,30399,81.9,2021,27,58,"23",51,58,5980,5114,10311,29,6
6029,"California","Kern",53245,60173,85693,77.5,2021,53,56,"48",52,55,8031,13587,9495,27,7
6031,"California","Kings",57297,8898,16601,79.7,2021,33,53,"32",50,48,6595,7104,7560,25,6
6037,"California","Los Angeles",72721,806801,59424,82.4,2021,22,31,"17",47,34,5005,9851,4946,21,7
