"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Life.Expectancy","Life.Expectancy..Black.","Life.Expectancy..White.","Year"
12013,"Florida","Calhoun",41399,1317,9874,75.3,77.9,74.4,2021
12015,"Florida","Charlotte",54756,15629,14213,81.1,83.1,80.4,2021
12017,"Florida","Citrus",49762,12600,48753,75.7,77.9,75.2,2021
12019,"Florida","Clay",75776,18889,28570,77.8,79.4,77,2021
12021,"Florida","Collier",76415,50324,27284,86.1,86.7,85.5,2021
12023,"Florida","Columbia",47087,6027,41908,75.2,74.5,74.6,2021
12027,"Florida","DeSoto",41673,5746,16121,80.5,74.2,79.1,2021
12029,"Florida","Dixie",39793,1505,12649,75.4,72.3,75.4,2021
12031,"Florida","Duval",58339,99428,25163,76.1,74.2,75.7,2021
12033,"Florida","Escambia",52822,28187,24709,75.3,73,75.4,2021
12035,"Florida","Flagler",62831,10221,9877,79.4,79.2,79,2021
12039,"Florida","Gadsden",42975,4709,30329,76.6,74.7,77.6,2021
12043,"Florida","Glades",45412,1912,9101,84.1,82.7,82.5,2021
12045,"Florida","Gulf",53228,1082,12228,75.9,74.7,75.5,2021
12047,"Florida","Hamilton",39241,1190,9395,76.2,75.6,75.6,2021
12049,"Florida","Hardee",41430,3473,13258,79.7,76.4,79,2021
12051,"Florida","Hendry",45107,8437,14831,78.5,72.9,75.7,2021
12053,"Florida","Hernando",50705,19016,33476,77.2,77.9,76.4,2021
12055,"Florida","Highlands",45723,11576,20810,78.3,73.3,77.6,2021
12057,"Florida","Hillsborough",61133,158801,43181,79.6,76.5,79,2021
12061,"Florida","Indian River",61173,16731,6857,81.2,75.4,80.9,2021
12063,"Florida","Jackson",40543,3979,37490,74.4,74.5,74.1,2021
12065,"Florida","Jefferson",47192,1163,14761,77.6,75.4,78.7,2021
12069,"Florida","Lake",57660,34287,57194,78.8,76.1,78.3,2021
12071,"Florida","Lee",62364,90101,36013,82.5,81,81.7,2021
12073,"Florida","Leon",55081,25093,33911,79.4,77.1,80,2021
12075,"Florida","Levy",41405,4819,37557,75.5,76.1,74.9,2021
12079,"Florida","Madison",37919,1723,15381,75.6,75.9,75.3,2021
12081,"Florida","Manatee",64151,42242,18693,81.7,76.1,81.4,2021
12083,"Florida","Marion",49079,38242,102796,76.3,76.1,75.6,2021
12085,"Florida","Martin",70806,15224,12403,82.3,77.9,81.9,2021
12086,"Florida","Miami-Dade",54991,405504,10095,82.4,77,80.1,2021
12087,"Florida","Monroe",67528,10113,6369,81.3,79,80,2021
12089,"Florida","Nassau",72818,6535,35298,77.6,73.4,77.5,2021
12091,"Florida","Okaloosa",63520,19451,21878,78,75.7,77.6,2021
12093,"Florida","Okeechobee",45225,5858,14618,76.3,81.8,74.8,2021
12095,"Florida","Orange",63133,155502,23402,80.6,78.3,79.6,2021
12097,"Florida","Osceola",52270,41511,21014,79.7,78.9,77.4,2021
12099,"Florida","Palm Beach",66621,178492,13763,82.6,81,81.9,2021
12101,"Florida","Pasco",55745,54656,43990,77.8,78.5,76.8,2021
12103,"Florida","Pinellas",56708,100100,2603,79.2,74.9,79.1,2021
12105,"Florida","Polk",51817,75351,81346,78.6,75.7,78.1,2021
12107,"Florida","Putnam",41986,8967,41765,73.9,70.3,74,2021
12109,"Florida","St. Johns",90839,18722,45179,81.9,77.4,81.7,2021
12111,"Florida","St. Lucie",57292,37350,9326,80.5,79.2,79.5,2021
12113,"Florida","Santa Rosa",66139,15179,31772,77.7,80.3,77.1,2021
12115,"Florida","Sarasota",66258,38439,16394,82,76.6,81.7,2021
12117,"Florida","Seminole",69954,43958,13348,80.7,77.8,80.1,2021
12119,"Florida","Sumter",63464,5039,32664,80.4,75.3,80.1,2021
12121,"Florida","Suwannee",49453,5025,34557,75.9,76,75.3,2021
12123,"Florida","Taylor",42987,1805,15637,75.7,75.6,75.2,2021
12125,"Florida","Union",50893,922,10478,68.3,67.6,67.6,2021
12127,"Florida","Volusia",53554,56326,49179,76.8,75.3,76,2021
12129,"Florida","Wakulla",58640,2663,18982,76.9,77.8,76.3,2021
12131,"Florida","Walton",62600,7847,34746,78.9,78.8,78.5,2021
12133,"Florida","Washington",42518,2481,21050,72.5,74.5,71.8,2021
13001,"Georgia","Appling",43821,2372,13028,75.1,71.3,75.4,2021
13005,"Georgia","Bacon",41807,1448,7688,73.9,70.1,74,2021
13009,"Georgia","Baldwin",44429,4664,16066,74.9,74.6,75,2021
13013,"Georgia","Barrow",68924,10709,20853,76.4,74.7,75.9,2021
13015,"Georgia","Bartow",60254,13579,35283,76.7,75.2,76.3,2021
13017,"Georgia","Ben Hill",35931,1848,5996,73,72.5,72.6,2021
13019,"Georgia","Berrien",42058,2754,14685,74.3,72.7,73.9,2021
13021,"Georgia","Bibb",43066,17543,22415,74.2,72.4,75.6,2021
13023,"Georgia","Bleckley",48115,1204,6739,77.6,73.5,78.5,2021
13027,"Georgia","Brooks",39554,2172,11539,74.2,71.1,75.2,2021
13029,"Georgia","Bryan",79296,3646,15825,76.3,74.1,76.2,2021
13031,"Georgia","Bulloch",48788,9038,33903,77.5,74.8,78,2021
13033,"Georgia","Burke",42632,2258,17486,74,72,75,2021
13035,"Georgia","Butts",47410,2552,18437,74.3,74.1,73.9,2021
13037,"Georgia","Calhoun",34960,564,6694,77.7,76.5,78.9,2021
13039,"Georgia","Camden",58552,5483,15883,78.2,76.2,78.3,2021
13043,"Georgia","Candler",41665,1589,7365,74.5,69.9,75.9,2021
13045,"Georgia","Carroll",59193,13126,46228,75.3,74.1,75,2021
13047,"Georgia","Catoosa",60753,6815,17969,78.3,88.4,77.9,2021
13049,"Georgia","Charlton",42891,1425,6210,76.7,77.1,75.6,2021
13051,"Georgia","Chatham",57122,33735,11944,78.2,75.5,79.4,2021
13053,"Georgia","Chattahoochee",46106,690,3326,79,83.1,75.9,2021
13055,"Georgia","Chattooga",41561,2894,14974,73.5,71.2,73.3,2021
13057,"Georgia","Cherokee",88635,26367,36659,80.3,79.3,80,2021
13059,"Georgia","Clarke",41036,17043,6839,79,74.1,80.3,2021
13063,"Georgia","Clayton",50737,41718,2303,76.6,76.6,71.5,2021
13065,"Georgia","Clinch",42928,862,4108,72.6,69,73,2021
13067,"Georgia","Cobb",79622,79642,1694,80.7,78.7,80.6,2021
13069,"Georgia","Coffee",41675,5692,28202,74.5,73.8,73.8,2021
13071,"Georgia","Colquitt",41899,7751,26821,74.4,71.4,74.3,2021
13073,"Georgia","Columbia",88285,11683,20131,80.5,81.3,79.7,2021
13075,"Georgia","Cook",40670,2322,10226,74.5,74.1,74.3,2021
13077,"Georgia","Coweta",79232,14745,41929,78.9,76.7,79,2021
13079,"Georgia","Crawford",50411,1529,12630,75.5,74.3,75.5,2021
13081,"Georgia","Crisp",40482,2587,11023,75.2,72,76.4,2021
13087,"Georgia","Decatur",40473,3471,15724,74.3,72.4,75.4,2021
13089,"Georgia","DeKalb",63606,96912,1820,80.4,78.4,82.7,2021
13091,"Georgia","Dodge",41118,2036,15743,76.3,77,76.3,2021
13093,"Georgia","Dooly",37109,1369,8006,79.5,78.7,79.1,2021
13095,"Georgia","Dougherty",36894,10605,13201,74.4,74.2,74.5,2021
13097,"Georgia","Douglas",62915,16614,20863,77.8,77.1,76.7,2021
13099,"Georgia","Early",40011,962,7260,73,74.1,73.2,2021
13103,"Georgia","Effingham",71628,6440,35035,76.5,74.8,76.5,2021
13105,"Georgia","Elbert",40962,2355,14241,75.1,73.5,75.1,2021
13107,"Georgia","Emanuel",38529,2439,15114,72.4,72.5,72.1,2021
13109,"Georgia","Evans",41425,1282,6741,76,76.1,75.7,2021
13113,"Georgia","Fayette",94563,8389,19372,81.1,78.5,81.5,2021
13115,"Georgia","Floyd",50520,11435,35466,75.2,72,75,2021
13117,"Georgia","Forsyth",113332,18639,17414,82.3,80.8,81.4,2021
13119,"Georgia","Franklin",47691,2999,19639,73.9,69.4,73.6,2021
13121,"Georgia","Fulton",79235,105755,9921,79.6,75.4,82.8,2021
13127,"Georgia","Glynn",58017,10273,16376,77.4,74.7,77.7,2021
13129,"Georgia","Gordon",53373,8676,28453,75.7,74.8,74.7,2021
13131,"Georgia","Grady",42603,3510,15597,76.3,72.8,77.1,2021
13133,"Georgia","Greene",60973,2039,13235,78.3,73.9,79.9,2021
13135,"Georgia","Gwinnett",72225,127388,3910,81.2,80.1,80,2021
13137,"Georgia","Habersham",51296,5867,25292,77.6,78.6,77.1,2021
