"FIPS","State","County","YPLL_Rate","YPLL_Black","YPLL_White","Percent_Poor_Health","Percent_Low_Birthweight"
22017,"Louisiana","Caddo",10972,13882,8001,25,14
22019,"Louisiana","Calcasieu",9980,13354,8870,21,10
22027,"Louisiana","Claiborne",10257,11184,9724,30,16
22029,"Louisiana","Concordia",12465,16000,10322,30,14
22031,"Louisiana","De Soto",9036,11400,7779,26,12
22033,"Louisiana","East Baton Rouge",10041,13186,7676,19,12
22037,"Louisiana","East Feliciana",10923,12143,10136,25,11
22039,"Louisiana","Evangeline",12099,14827,11736,29,11
22041,"Louisiana","Franklin",9381,11296,8283,28,13
22045,"Louisiana","Iberia",10094,14550,8433,25,11
22047,"Louisiana","Iberville",10102,11208,9676,25,13
22049,"Louisiana","Jackson",9590,12957,8735,26,11
22051,"Louisiana","Jefferson",8665,11607,8556,21,10
22053,"Louisiana","Jefferson Davis",10567,12791,10187,23,10
22055,"Louisiana","Lafayette",7334,10690,6410,19,9
22057,"Louisiana","Lafourche",8831,14529,7693,23,9
22061,"Louisiana","Lincoln",8655,11037,7456,23,11
22063,"Louisiana","Livingston",8945,12518,8860,19,8
22065,"Louisiana","Madison",12780,16010,7011,34,16
22067,"Louisiana","Morehouse",13952,16741,11166,28,14
22069,"Louisiana","Natchitoches",10810,13518,9141,26,12
22071,"Louisiana","Orleans",10085,12614,6339,22,12
22073,"Louisiana","Ouachita",10051,13266,8241,24,12
22075,"Louisiana","Plaquemines",8110,9524,8596,22,9
22077,"Louisiana","Pointe Coupee",9999,11819,9299,24,10
22079,"Louisiana","Rapides",10835,14975,9426,23,11
22081,"Louisiana","Red River",13681,17937,11889,27,11
22083,"Louisiana","Richland",11560,14796,9800,28,14
22085,"Louisiana","Sabine",9907,14118,10181,24,9
22087,"Louisiana","St. Bernard",11111,10916,12086,25,10
22089,"Louisiana","St. Charles",7431,9212,6431,18,10
22091,"Louisiana","St. Helena",11619,11783,12501,28,11
22093,"Louisiana","St. James",10123,12618,8099,23,12
22095,"Louisiana","St. John the Baptist",10467,11684,9855,23,12
22097,"Louisiana","St. Landry",12818,16105,10771,28,11
22099,"Louisiana","St. Martin",9402,12214,8448,23,9
22101,"Louisiana","St. Mary",9924,13168,8820,27,10
22103,"Louisiana","St. Tammany",7237,9076,7139,16,9
22105,"Louisiana","Tangipahoa",9955,12651,9322,23,11
22109,"Louisiana","Terrebonne",10094,14842,9402,25,9
22111,"Louisiana","Union",9553,13639,8116,23,11
22113,"Louisiana","Vermilion",7910,12838,7161,23,10
22115,"Louisiana","Vernon",9176,12217,9385,21,7
22117,"Louisiana","Washington",14398,14781,14655,27,12
22119,"Louisiana","Webster",11687,13219,11005,27,12
22121,"Louisiana","West Baton Rouge",8218,10804,6813,21,11
22125,"Louisiana","West Feliciana",8979,9162,8929,21,9
22127,"Louisiana","Winn",9740,7658,11599,25,11
23001,"Maine","Androscoggin",7751,11159,7554,18,8
23005,"Maine","Cumberland",5583,7314,5572,12,7
24001,"Maryland","Allegany",8602,7760,9242,20,9
